Question ID (machine readable),Response ID (machine readable),Response value,Answer requirement,Human-friendly question label
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_AUDIO:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_REQUIRED,,SINGLE_CHOICE,"Penggunaan dan penanganan data (File audio lainnya)/Apakah data ini diperlukan untuk aplikasi, atau dapatkah pengguna memilih data tersebut untuk dikumpulkan atau tidak?/Pengumpulan data diperlukan (pengguna tidak dapat menonaktifkan pengumpulan data ini)"
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_AUDIO:DATA_USAGE_COLLECTION_PURPOSE,PSL_APP_FUNCTIONALITY,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (File audio lainnya)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Fungsi aplikasi
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_AUDIO:DATA_USAGE_COLLECTION_PURPOSE,PSL_ANALYTICS,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (File audio lainnya)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Analytics
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_AUDIO:DATA_USAGE_COLLECTION_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (File audio lainnya)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Komunikasi developer
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_AUDIO:DATA_USAGE_COLLECTION_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,,MULTIPLE_CHOICE,"Penggunaan dan penanganan data (File audio lainnya)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Pencegahan penipuan, keamanan, dan kepatuhan"
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_AUDIO:DATA_USAGE_COLLECTION_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (File audio lainnya)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Iklan atau pemasaran
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_AUDIO:DATA_USAGE_COLLECTION_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (File audio lainnya)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Personalisasi
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_AUDIO:DATA_USAGE_COLLECTION_PURPOSE,PSL_ACCOUNT_MANAGEMENT,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (File audio lainnya)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Pengelolaan akun
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_AUDIO:DATA_USAGE_SHARING_PURPOSE,PSL_APP_FUNCTIONALITY,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (File audio lainnya)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Fungsi aplikasi
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_AUDIO:DATA_USAGE_SHARING_PURPOSE,PSL_ANALYTICS,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (File audio lainnya)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Analytics
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_AUDIO:DATA_USAGE_SHARING_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (File audio lainnya)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Komunikasi developer
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_AUDIO:DATA_USAGE_SHARING_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,,MULTIPLE_CHOICE,"Penggunaan dan penanganan data (File audio lainnya)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Pencegahan penipuan, keamanan, dan kepatuhan"
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_AUDIO:DATA_USAGE_SHARING_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (File audio lainnya)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Iklan atau pemasaran
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_AUDIO:DATA_USAGE_SHARING_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (File audio lainnya)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Personalisasi
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_AUDIO:DATA_USAGE_SHARING_PURPOSE,PSL_ACCOUNT_MANAGEMENT,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (File audio lainnya)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Pengelolaan akun
PSL_DATA_USAGE_RESPONSES:PSL_HEALTH:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_COLLECTED,,MULTIPLE_CHOICE,"Penggunaan dan penanganan data (Info kesehatan)/Apakah data ini dikumpulkan, dibagikan, atau keduanya?/Dikumpulkan"
PSL_DATA_USAGE_RESPONSES:PSL_HEALTH:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_SHARED,,MULTIPLE_CHOICE,"Penggunaan dan penanganan data (Info kesehatan)/Apakah data ini dikumpulkan, dibagikan, atau keduanya?/Dibagikan"
PSL_DATA_USAGE_RESPONSES:PSL_HEALTH:PSL_DATA_USAGE_EPHEMERAL,,,MAYBE_REQUIRED,Penggunaan dan penanganan data (Info kesehatan)/Apakah data ini diproses secara sementara?
PSL_DATA_USAGE_RESPONSES:PSL_HEALTH:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_OPTIONAL,,SINGLE_CHOICE,"Penggunaan dan penanganan data (Info kesehatan)/Apakah data ini diperlukan untuk aplikasi, atau dapatkah pengguna memilih data tersebut untuk dikumpulkan atau tidak?/Pengguna dapat memilih data ini untuk dikumpulkan atau tidak"
PSL_DATA_USAGE_RESPONSES:PSL_HEALTH:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_REQUIRED,,SINGLE_CHOICE,"Penggunaan dan penanganan data (Info kesehatan)/Apakah data ini diperlukan untuk aplikasi, atau dapatkah pengguna memilih data tersebut untuk dikumpulkan atau tidak?/Pengumpulan data diperlukan (pengguna tidak dapat menonaktifkan pengumpulan data ini)"
PSL_DATA_USAGE_RESPONSES:PSL_HEALTH:DATA_USAGE_COLLECTION_PURPOSE,PSL_APP_FUNCTIONALITY,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Info kesehatan)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Fungsi aplikasi
PSL_DATA_USAGE_RESPONSES:PSL_HEALTH:DATA_USAGE_COLLECTION_PURPOSE,PSL_ANALYTICS,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Info kesehatan)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Analytics
PSL_DATA_USAGE_RESPONSES:PSL_HEALTH:DATA_USAGE_COLLECTION_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Info kesehatan)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Komunikasi developer
PSL_DATA_USAGE_RESPONSES:PSL_HEALTH:DATA_USAGE_COLLECTION_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,,MULTIPLE_CHOICE,"Penggunaan dan penanganan data (Info kesehatan)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Pencegahan penipuan, keamanan, dan kepatuhan"
PSL_DATA_USAGE_RESPONSES:PSL_HEALTH:DATA_USAGE_COLLECTION_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Info kesehatan)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Iklan atau pemasaran
PSL_DATA_USAGE_RESPONSES:PSL_HEALTH:DATA_USAGE_COLLECTION_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Info kesehatan)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Personalisasi
PSL_DATA_USAGE_RESPONSES:PSL_HEALTH:DATA_USAGE_COLLECTION_PURPOSE,PSL_ACCOUNT_MANAGEMENT,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Info kesehatan)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Pengelolaan akun
PSL_DATA_USAGE_RESPONSES:PSL_HEALTH:DATA_USAGE_SHARING_PURPOSE,PSL_APP_FUNCTIONALITY,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Info kesehatan)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Fungsi aplikasi
PSL_DATA_USAGE_RESPONSES:PSL_HEALTH:DATA_USAGE_SHARING_PURPOSE,PSL_ANALYTICS,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Info kesehatan)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Analytics
PSL_DATA_USAGE_RESPONSES:PSL_HEALTH:DATA_USAGE_SHARING_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Info kesehatan)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Komunikasi developer
PSL_DATA_USAGE_RESPONSES:PSL_HEALTH:DATA_USAGE_SHARING_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,,MULTIPLE_CHOICE,"Penggunaan dan penanganan data (Info kesehatan)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Pencegahan penipuan, keamanan, dan kepatuhan"
PSL_DATA_USAGE_RESPONSES:PSL_HEALTH:DATA_USAGE_SHARING_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Info kesehatan)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Iklan atau pemasaran
PSL_DATA_USAGE_RESPONSES:PSL_HEALTH:DATA_USAGE_SHARING_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Info kesehatan)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Personalisasi
PSL_DATA_USAGE_RESPONSES:PSL_HEALTH:DATA_USAGE_SHARING_PURPOSE,PSL_ACCOUNT_MANAGEMENT,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Info kesehatan)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Pengelolaan akun
PSL_DATA_USAGE_RESPONSES:PSL_FITNESS:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_COLLECTED,,MULTIPLE_CHOICE,"Penggunaan dan penanganan data (Info kebugaran)/Apakah data ini dikumpulkan, dibagikan, atau keduanya?/Dikumpulkan"
PSL_DATA_USAGE_RESPONSES:PSL_FITNESS:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_SHARED,,MULTIPLE_CHOICE,"Penggunaan dan penanganan data (Info kebugaran)/Apakah data ini dikumpulkan, dibagikan, atau keduanya?/Dibagikan"
PSL_DATA_USAGE_RESPONSES:PSL_FITNESS:PSL_DATA_USAGE_EPHEMERAL,,,MAYBE_REQUIRED,Penggunaan dan penanganan data (Info kebugaran)/Apakah data ini diproses secara sementara?
PSL_DATA_USAGE_RESPONSES:PSL_FITNESS:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_OPTIONAL,,SINGLE_CHOICE,"Penggunaan dan penanganan data (Info kebugaran)/Apakah data ini diperlukan untuk aplikasi, atau dapatkah pengguna memilih data tersebut untuk dikumpulkan atau tidak?/Pengguna dapat memilih data ini untuk dikumpulkan atau tidak"
PSL_DATA_USAGE_RESPONSES:PSL_FITNESS:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_REQUIRED,,SINGLE_CHOICE,"Penggunaan dan penanganan data (Info kebugaran)/Apakah data ini diperlukan untuk aplikasi, atau dapatkah pengguna memilih data tersebut untuk dikumpulkan atau tidak?/Pengumpulan data diperlukan (pengguna tidak dapat menonaktifkan pengumpulan data ini)"
PSL_DATA_USAGE_RESPONSES:PSL_FITNESS:DATA_USAGE_COLLECTION_PURPOSE,PSL_APP_FUNCTIONALITY,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Info kebugaran)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Fungsi aplikasi
PSL_DATA_USAGE_RESPONSES:PSL_FITNESS:DATA_USAGE_COLLECTION_PURPOSE,PSL_ANALYTICS,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Info kebugaran)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Analytics
PSL_DATA_USAGE_RESPONSES:PSL_FITNESS:DATA_USAGE_COLLECTION_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Info kebugaran)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Komunikasi developer
PSL_DATA_USAGE_RESPONSES:PSL_FITNESS:DATA_USAGE_COLLECTION_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,,MULTIPLE_CHOICE,"Penggunaan dan penanganan data (Info kebugaran)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Pencegahan penipuan, keamanan, dan kepatuhan"
PSL_DATA_USAGE_RESPONSES:PSL_FITNESS:DATA_USAGE_COLLECTION_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Info kebugaran)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Iklan atau pemasaran
PSL_DATA_USAGE_RESPONSES:PSL_FITNESS:DATA_USAGE_COLLECTION_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Info kebugaran)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Personalisasi
PSL_DATA_USAGE_RESPONSES:PSL_FITNESS:DATA_USAGE_COLLECTION_PURPOSE,PSL_ACCOUNT_MANAGEMENT,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Info kebugaran)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Pengelolaan akun
PSL_DATA_USAGE_RESPONSES:PSL_FITNESS:DATA_USAGE_SHARING_PURPOSE,PSL_APP_FUNCTIONALITY,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Info kebugaran)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Fungsi aplikasi
PSL_DATA_USAGE_RESPONSES:PSL_FITNESS:DATA_USAGE_SHARING_PURPOSE,PSL_ANALYTICS,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Info kebugaran)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Analytics
PSL_DATA_USAGE_RESPONSES:PSL_FITNESS:DATA_USAGE_SHARING_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Info kebugaran)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Komunikasi developer
PSL_DATA_USAGE_RESPONSES:PSL_FITNESS:DATA_USAGE_SHARING_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,,MULTIPLE_CHOICE,"Penggunaan dan penanganan data (Info kebugaran)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Pencegahan penipuan, keamanan, dan kepatuhan"
PSL_DATA_USAGE_RESPONSES:PSL_FITNESS:DATA_USAGE_SHARING_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Info kebugaran)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Iklan atau pemasaran
PSL_DATA_USAGE_RESPONSES:PSL_FITNESS:DATA_USAGE_SHARING_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Info kebugaran)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Personalisasi
PSL_DATA_USAGE_RESPONSES:PSL_FITNESS:DATA_USAGE_SHARING_PURPOSE,PSL_ACCOUNT_MANAGEMENT,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Info kebugaran)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Pengelolaan akun
PSL_DATA_USAGE_RESPONSES:PSL_CONTACTS:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_COLLECTED,,MULTIPLE_CHOICE,"Penggunaan dan penanganan data (Kontak)/Apakah data ini dikumpulkan, dibagikan, atau keduanya?/Dikumpulkan"
PSL_DATA_USAGE_RESPONSES:PSL_CONTACTS:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_SHARED,,MULTIPLE_CHOICE,"Penggunaan dan penanganan data (Kontak)/Apakah data ini dikumpulkan, dibagikan, atau keduanya?/Dibagikan"
PSL_DATA_USAGE_RESPONSES:PSL_CONTACTS:PSL_DATA_USAGE_EPHEMERAL,,,MAYBE_REQUIRED,Penggunaan dan penanganan data (Kontak)/Apakah data ini diproses secara sementara?
PSL_DATA_USAGE_RESPONSES:PSL_CONTACTS:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_OPTIONAL,,SINGLE_CHOICE,"Penggunaan dan penanganan data (Kontak)/Apakah data ini diperlukan untuk aplikasi, atau dapatkah pengguna memilih data tersebut untuk dikumpulkan atau tidak?/Pengguna dapat memilih data ini untuk dikumpulkan atau tidak"
PSL_DATA_USAGE_RESPONSES:PSL_CONTACTS:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_REQUIRED,,SINGLE_CHOICE,"Penggunaan dan penanganan data (Kontak)/Apakah data ini diperlukan untuk aplikasi, atau dapatkah pengguna memilih data tersebut untuk dikumpulkan atau tidak?/Pengumpulan data diperlukan (pengguna tidak dapat menonaktifkan pengumpulan data ini)"
PSL_DATA_USAGE_RESPONSES:PSL_CONTACTS:DATA_USAGE_COLLECTION_PURPOSE,PSL_APP_FUNCTIONALITY,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Kontak)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Fungsi aplikasi
PSL_DATA_USAGE_RESPONSES:PSL_CONTACTS:DATA_USAGE_COLLECTION_PURPOSE,PSL_ANALYTICS,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Kontak)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Analytics
PSL_DATA_USAGE_RESPONSES:PSL_CONTACTS:DATA_USAGE_COLLECTION_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Kontak)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Komunikasi developer
PSL_DATA_USAGE_RESPONSES:PSL_CONTACTS:DATA_USAGE_COLLECTION_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,,MULTIPLE_CHOICE,"Penggunaan dan penanganan data (Kontak)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Pencegahan penipuan, keamanan, dan kepatuhan"
PSL_DATA_USAGE_RESPONSES:PSL_CONTACTS:DATA_USAGE_COLLECTION_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Kontak)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Iklan atau pemasaran
PSL_DATA_USAGE_RESPONSES:PSL_CONTACTS:DATA_USAGE_COLLECTION_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Kontak)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Personalisasi
PSL_DATA_USAGE_RESPONSES:PSL_CONTACTS:DATA_USAGE_COLLECTION_PURPOSE,PSL_ACCOUNT_MANAGEMENT,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Kontak)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Pengelolaan akun
PSL_DATA_USAGE_RESPONSES:PSL_CONTACTS:DATA_USAGE_SHARING_PURPOSE,PSL_APP_FUNCTIONALITY,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Kontak)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Fungsi aplikasi
PSL_DATA_USAGE_RESPONSES:PSL_CONTACTS:DATA_USAGE_SHARING_PURPOSE,PSL_ANALYTICS,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Kontak)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Analytics
PSL_DATA_USAGE_RESPONSES:PSL_CONTACTS:DATA_USAGE_SHARING_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Kontak)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Komunikasi developer
PSL_DATA_USAGE_RESPONSES:PSL_CONTACTS:DATA_USAGE_SHARING_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,,MULTIPLE_CHOICE,"Penggunaan dan penanganan data (Kontak)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Pencegahan penipuan, keamanan, dan kepatuhan"
PSL_DATA_USAGE_RESPONSES:PSL_CONTACTS:DATA_USAGE_SHARING_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Kontak)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Iklan atau pemasaran
PSL_DATA_USAGE_RESPONSES:PSL_CONTACTS:DATA_USAGE_SHARING_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Kontak)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Personalisasi
PSL_DATA_USAGE_RESPONSES:PSL_CONTACTS:DATA_USAGE_SHARING_PURPOSE,PSL_ACCOUNT_MANAGEMENT,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Kontak)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Pengelolaan akun
PSL_DATA_USAGE_RESPONSES:PSL_CALENDAR:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_COLLECTED,,MULTIPLE_CHOICE,"Penggunaan dan penanganan data (Acara Kalender)/Apakah data ini dikumpulkan, dibagikan, atau keduanya?/Dikumpulkan"
PSL_DATA_USAGE_RESPONSES:PSL_CALENDAR:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_SHARED,,MULTIPLE_CHOICE,"Penggunaan dan penanganan data (Acara Kalender)/Apakah data ini dikumpulkan, dibagikan, atau keduanya?/Dibagikan"
PSL_DATA_USAGE_RESPONSES:PSL_CALENDAR:PSL_DATA_USAGE_EPHEMERAL,,,MAYBE_REQUIRED,Penggunaan dan penanganan data (Acara Kalender)/Apakah data ini diproses secara sementara?
PSL_DATA_USAGE_RESPONSES:PSL_CALENDAR:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_OPTIONAL,,SINGLE_CHOICE,"Penggunaan dan penanganan data (Acara Kalender)/Apakah data ini diperlukan untuk aplikasi, atau dapatkah pengguna memilih data tersebut untuk dikumpulkan atau tidak?/Pengguna dapat memilih data ini untuk dikumpulkan atau tidak"
PSL_DATA_USAGE_RESPONSES:PSL_CALENDAR:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_REQUIRED,,SINGLE_CHOICE,"Penggunaan dan penanganan data (Acara Kalender)/Apakah data ini diperlukan untuk aplikasi, atau dapatkah pengguna memilih data tersebut untuk dikumpulkan atau tidak?/Pengumpulan data diperlukan (pengguna tidak dapat menonaktifkan pengumpulan data ini)"
PSL_DATA_USAGE_RESPONSES:PSL_CALENDAR:DATA_USAGE_COLLECTION_PURPOSE,PSL_APP_FUNCTIONALITY,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Acara Kalender)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Fungsi aplikasi
PSL_DATA_USAGE_RESPONSES:PSL_CALENDAR:DATA_USAGE_COLLECTION_PURPOSE,PSL_ANALYTICS,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Acara Kalender)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Analytics
PSL_DATA_USAGE_RESPONSES:PSL_CALENDAR:DATA_USAGE_COLLECTION_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Acara Kalender)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Komunikasi developer
PSL_DATA_USAGE_RESPONSES:PSL_CALENDAR:DATA_USAGE_COLLECTION_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,,MULTIPLE_CHOICE,"Penggunaan dan penanganan data (Acara Kalender)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Pencegahan penipuan, keamanan, dan kepatuhan"
PSL_DATA_USAGE_RESPONSES:PSL_CALENDAR:DATA_USAGE_COLLECTION_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Acara Kalender)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Iklan atau pemasaran
PSL_DATA_USAGE_RESPONSES:PSL_CALENDAR:DATA_USAGE_COLLECTION_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Acara Kalender)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Personalisasi
PSL_DATA_USAGE_RESPONSES:PSL_CALENDAR:DATA_USAGE_COLLECTION_PURPOSE,PSL_ACCOUNT_MANAGEMENT,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Acara Kalender)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Pengelolaan akun
PSL_DATA_USAGE_RESPONSES:PSL_CALENDAR:DATA_USAGE_SHARING_PURPOSE,PSL_APP_FUNCTIONALITY,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Acara Kalender)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Fungsi aplikasi
PSL_DATA_USAGE_RESPONSES:PSL_CALENDAR:DATA_USAGE_SHARING_PURPOSE,PSL_ANALYTICS,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Acara Kalender)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Analytics
PSL_DATA_USAGE_RESPONSES:PSL_CALENDAR:DATA_USAGE_SHARING_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Acara Kalender)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Komunikasi developer
PSL_DATA_USAGE_RESPONSES:PSL_CALENDAR:DATA_USAGE_SHARING_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,,MULTIPLE_CHOICE,"Penggunaan dan penanganan data (Acara Kalender)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Pencegahan penipuan, keamanan, dan kepatuhan"
PSL_DATA_USAGE_RESPONSES:PSL_CALENDAR:DATA_USAGE_SHARING_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Acara Kalender)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Iklan atau pemasaran
